question,intent,response,clean_question
No entry sign ko ignore kar sakte hain?,no_entry,"Nahi, No Entry sign ko follow karna chahiye.",no entry sign ko ignore kar sakte hain
Traffic signs ko follow karna kyun zaroori hai?,road_signs,Traffic signs drivers ko road rules aur conditions ke bare mein guide karte hain.,traffic signs ko follow karna kyun zaroori hai
Road signs ka kya faida hai?,road_signs,Road signs drivers ko important traffic rules aur road conditions batate hain.,road signs ka kya faida hai
Traffic sign dekh kar kya karna chahiye?,road_signs,Traffic signs ko samajh kar unke mutabiq drive karni chahiye.,traffic sign dekh kar kya karna chahiye
Road par signs ko ignore karna theek hai?,road_signs,"Nahi, traffic signs ko ignore nahi karna chahiye.",road par signs ko ignore karna theek hai
Traffic signs kyun lagaye jate hain?,road_signs,Traffic signs road users ko rules aur conditions ke bare mein guide karte hain.,traffic signs kyun lagaye jate hain
Driving mein road signs ki importance kya hai?,road_signs,Road signs safe driving aur traffic rules follow karne mein help karte hain.,driving mein road signs ki importance kya hai
U-turn kahan le sakte hain?,u_turn,U-turn sirf us jagah lena chahiye jahan allowed ho aur safe ho.,uturn kahan le sakte hain
U-turn lena safe kab hota hai?,u_turn,U-turn tab lein jab allowed ho aur road safe ho.,uturn lena safe kab hota hai
Gaari ka U-turn kahan karna chahiye?,u_turn,U-turn sirf permitted aur safe location par karna chahiye.,gaari ka uturn kahan karna chahiye
Kya har jagah U-turn le sakte hain?,u_turn,"Nahi, U-turn sirf jahan allowed ho wahan lena chahiye.",kya har jagah uturn le sakte hain
U-turn se pehle kya check karein?,u_turn,U-turn se pehle traffic aur surroundings check karein.,uturn se pehle kya check karein
U-turn lene ka sahi tareeqa kya hai?,u_turn,U-turn sirf safe aur permitted location par lena chahiye.,uturn lene ka sahi tareeqa kya hai
Yellow signal ka kya matlab hai?,yellow_light,Yellow signal par speed slow karein aur stop ke liye prepare karein.,yellow signal ka kya matlab hai
Peeli batti par kya karna chahiye?,yellow_light,Peeli batti par speed slow karein aur safe ho to stop karein.,peeli batti par kya karna chahiye
Yellow light aaye to gaari rokni chahiye?,yellow_light,Yellow light par slow down karein aur safe ho to stop ke liye prepare karein.,yellow light aaye to gaari rokni chahiye
Peela signal dekh kar kya karein?,yellow_light,Peela signal dekh kar speed slow karein aur stop ke liye prepare karein.,peela signal dekh kar kya karein
Yellow batti ka kya signal hota hai?,yellow_light,Yellow batti speed slow karne aur stop ke liye prepare hone ka signal hai.,yellow batti ka kya signal hota hai
Signal yellow ho to driver ko kya karna chahiye?,yellow_light,Driver ko speed slow karni chahiye aur safe ho to stop ke liye prepare karna chahiye.,signal yellow ho to driver ko kya karna chahiye
Green signal par kya karna hota hai?,green_light,Green signal par safe hone ki surat mein proceed karna chahiye.,green signal par kya karna hota hai
Hari batti ho to gaari rokni hai?,green_light,Green signal par raasta clear ho to proceed karna chahiye.,hari batti ho to gaari rokni hai
Green signal milne par kya karein?,green_light,Green signal par raasta clear aur safe ho to proceed karein.,green signal milne par kya karein
Hari light ka matlab kya hai?,green_light,Hari light ka matlab hai ke safe hone par proceed kar sakte hain.,hari light ka matlab kya hai
Signal green ho to driver ko kya karna chahiye?,green_light,Green signal par safe hone ki surat mein vehicle proceed kar sakti hai.,signal green ho to driver ko kya karna chahiye
Green light par road cross kar sakte hain?,green_light,Green light par raasta clear ho to proceed kar sakte hain.,green light par road cross kar sakte hain
Road signs ko samajhna kyun zaroori hai?,road_signs,Road signs drivers ko traffic rules aur road conditions ke bare mein guide karte hain.,road signs ko samajhna kyun zaroori hai
Traffic signs driver ki kis tarah help karte hain?,road_signs,Traffic signs drivers ko safe driving aur road rules follow karne mein help karte hain.,traffic signs driver ki kis tarah help karte hain
Road par traffic signs ka kya purpose hai?,road_signs,Traffic signs road users ko important rules aur information provide karte hain.,road par traffic signs ka kya purpose hai
Traffic signs ki importance kya hai?,road_signs,Traffic signs safe driving aur traffic rules follow karne mein madad karte hain.,traffic signs ki importance kya hai
Driving karte waqt signs dekhna zaroori hai?,road_signs,"Ji haan, driving ke waqt traffic signs ko follow karna zaroori hai.",driving karte waqt signs dekhna zaroori hai
Traffic sign ko follow na karne se kya ho sakta hai?,road_signs,Traffic signs ko ignore karna unsafe ho sakta hai.,traffic sign ko follow na karne se kya ho sakta hai
Yellow signal par speed kam karni chahiye?,yellow_light,"Ji haan, yellow signal par speed slow karni chahiye.",yellow signal par speed kam karni chahiye
Peela signal aaye to driver ko kya karna chahiye?,yellow_light,Peela signal aaye to speed slow karein aur stop ke liye prepare karein.,peela signal aaye to driver ko kya karna chahiye
Yellow light dekh kar kya karein?,yellow_light,Yellow light par speed slow karein aur safe ho to stop karein.,yellow light dekh kar kya karein
Peeli batti ka kya matlab hota hai?,yellow_light,Peeli batti par slow down karein aur stop ke liye prepare karein.,peeli batti ka kya matlab hota hai
Signal peela ho to gaari tez chalani chahiye?,yellow_light,"Nahi, yellow signal par speed slow karni chahiye.",signal peela ho to gaari tez chalani chahiye
Yellow signal par rukne ke liye prepare karna chahiye?,yellow_light,"Ji haan, safe ho to rukne ke liye prepare karna chahiye.",yellow signal par rukne ke liye prepare karna chahiye
Ambulance ko dekh kar driver ko kya karna chahiye?,emergency_vehicle,Ambulance ko safe tareeqe se raasta dena chahiye.,ambulance ko dekh kar driver ko kya karna chahiye
Emergency vehicle aaye to kya karein?,emergency_vehicle,Emergency vehicle ko safe tareeqe se way dena chahiye.,emergency vehicle aaye to kya karein
Ambulance ke liye raasta clear karna chahiye?,emergency_vehicle,"Ji haan, ambulance ko safe tareeqe se raasta dena chahiye.",ambulance ke liye raasta clear karna chahiye
Sirens wali ambulance aaye to kya karna chahiye?,emergency_vehicle,Ambulance ko raasta dena chahiye jab ye safe ho.,sirens wali ambulance aaye to kya karna chahiye
Emergency vehicle peeche ho to kya karein?,emergency_vehicle,Safe tareeqe se side de kar emergency vehicle ko raasta dena chahiye.,emergency vehicle peeche ho to kya karein
Ambulance ko priority deni chahiye?,emergency_vehicle,"Ji haan, ambulance ko safe tareeqe se raasta dena chahiye.",ambulance ko priority deni chahiye
Pedestrian ko road cross karte dekh kar kya karein?,pedestrian,Pedestrian ko raasta dena chahiye aur vehicle slow karni chahiye.,pedestrian ko road cross karte dekh kar kya karein
Road cross karne wale logon ka khayal kaise rakhein?,pedestrian,Pedestrians ko appropriate right of way dena chahiye.,road cross karne wale logon ka khayal kaise rakhein
Pedestrian crossing par driver ko kya karna chahiye?,pedestrian,Pedestrian crossing par speed slow karein aur pedestrians ko raasta dein.,pedestrian crossing par driver ko kya karna chahiye
Log road cross kar rahe hon to gaari rokni chahiye?,pedestrian,Agar zaroorat ho to vehicle slow ya stop karke pedestrians ko raasta dein.,log road cross kar rahe hon to gaari rokni chahiye
Pedestrians ke qareeb driving kaise karni chahiye?,pedestrian,Pedestrians ke qareeb carefully drive karein aur zaroorat par speed slow karein.,pedestrians ke qareeb driving kaise karni chahiye
Pedestrian safety ke liye driver ko kya karna chahiye?,pedestrian,Driver ko carefully drive karna aur pedestrians ko appropriate right of way dena chahiye.,pedestrian safety ke liye driver ko kya karna chahiye
